Constituency,Verdict,Electorate,Total_poll,percTurnout,Invalid ballot papers,Valid_poll,Votes_Yes,Votes_No,percYes,percNo
Carlow-Kilkenny,YES,112704,69860,61.99,231,69629,44211,25418,63.5,36.5
Cavan-Monaghan,YES,91602,58067,63.39,163,57904,32115,25789,55.46,44.54
Clare,YES,83225,53576,64.37,169,53407,34328,19079,64.28,35.72
Cork East,YES,85643,54639,63.8,148,54491,34941,19550,64.12,35.88
Cork North Central,YES,84412,52713,62.45,166,52547,33639,18908,64.02,35.98
Cork North West,YES,68830,45379,65.93,131,45248,27194,18054,60.1,39.9
Cork South Central,YES,87524,58407,66.73,198,58209,40071,18138,68.84,31.16
Cork South West,YES,60356,40648,67.35,114,40534,26147,14387,64.51,35.49
Donegal,NO,118901,67839,57.06,189,67650,32559,35091,48.13,51.87
Dublin Bay North,YES,108209,77481,71.6,154,77327,57754,19573,74.69,25.31
Dublin Bay South,YES,78892,43343,54.94,126,43217,33919,9298,78.49,21.51
Dublin Central,YES,48002,24732,51.52,79,24653,18863,5790,76.51,23.49
Dublin Fingal,YES,95926,67519,70.39,156,67363,51840,15523,76.96,23.04
Dublin Mid West,YES,71558,48157,67.3,127,48030,35192,12838,73.27,26.73
Dublin North West,YES,62270,39079,62.76,113,38966,28477,10489,73.08,26.92
Dublin Rathdown,YES,64887,45491,70.11,117,45374,34529,10845,76.1,23.9
Dublin South Central,YES,76914,45843,59.6,112,45731,34201,11530,74.79,25.21
Dublin South West,YES,106588,73096,68.58,153,72943,54642,18301,74.91,25.09
Dublin West,YES,67138,45502,67.77,113,45389,33595,11794,74.02,25.98
Dún Laoghaire,YES,95372,65348,68.52,152,65196,50243,14953,77.06,22.94
Galway East,YES,69631,44192,63.47,121,44071,26525,17546,60.19,39.81
Galway West,YES,107726,64529,59.9,201,64328,42422,21906,65.95,34.05
Kerry,YES,111108,69345,62.41,209,69136,40285,28851,58.27,41.73
Kildare North,YES,85587,54571,63.76,114,54457,40058,14399,73.56,26.44
Kildare South,YES,63190,38758,61.34,112,38646,27307,11339,70.66,29.34
Laois,YES,63860,39602,62.01,106,39496,24232,15264,61.35,38.65
Limerick City,YES,77836,48263,62.01,153,48110,32169,15941,66.87,33.13
Limerick County,YES,67592,42214,62.45,122,42092,24448,17644,58.08,41.92
Longford-Westmeath,YES,89665,53172,59.3,183,52989,30876,22113,58.27,41.73
Louth,YES,106184,69968,65.89,206,69762,46429,23333,66.55,33.45
Mayo,YES,91377,56735,62.09,161,56574,32287,24287,57.07,42.93
Meath East,YES,67755,44456,65.61,118,44338,30686,13652,69.21,30.79
Meath West,YES,65651,41319,62.94,126,41193,26343,14850,63.95,36.05
Offaly,YES,66120,42788,64.71,99,42689,24781,17908,58.05,41.95
Roscommon-Galway,YES,63158,41497,65.7,111,41386,23677,17709,57.21,42.79
Sligo-Leitrim,YES,95954,58604,61.08,189,58415,34685,23730,59.38,40.62
Tipperary,YES,113546,72485,63.84,238,72247,42731,29516,59.15,40.85
Waterford,YES,83107,53435,64.3,123,53312,37016,16296,69.43,30.57
Wexford,YES,110494,73220,66.27,216,73004,49935,23069,68.4,31.6
Wicklow,YES,99062,73783,74.48,223,73560,54629,18931,74.26,25.74
