Constituency,percyes
Carlow-Kilkenny,63.5
Cavan-Monaghan,55.5
Clare,64
Cork East,64
Cork North Central,64
Cork North West,60.1
Cork South Central,69
Cork South West,64.5
Donegal,48.1
Dublin Bay North,75
Dublin Bay South,78.5
Dublin Central,77
Dublin Fingal,77
Dublin Mid West,77
Dublin North West,73
Dublin Rathdown,76
Dublin South Central,75
Dublin South West,75
Dublin West,74
Dún Laoghaire,77
Galway East,60
Galway West,66
Kerry,58.3
Kildare North,74
Kildare South,71
Laois,61
Limerick City,67
Limerick County,58
Longford-Westmeath,58
Louth,67
Mayo,57.1
Meath East,69
Meath West,64
Offaly,58
Roscommon-Galway,57
Sligo-Leitrim,59.4
Tipperary,59
Waterford,69
Wexford,68
Wicklow,74
